PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID,LONGITUDE,LATITUDE
None,,1,2030,2016,ADA_APSPt_1,1471459325000,1719520978000,,{D0DA2F95-F453-4068-8837-CD47E6F24CD0},1,-76.99386827087473,38.896197424014325
None,,1,2030,2016,ADA_APSPt_2,1473887674000,1719520978000,,{B7EFBE27-F836-4C6C-AA62-848D7B45A51D},2,-77.02799682592754,38.896257198822994
None,,1,2030,2016,ADA_APSPt_3,1473188968000,1719520978000,,{6E296EE8-31AB-42C3-B8EB-77304EB2F0A0},3,-77.03208312727924,38.91909340276522
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_4,,1719520978000,,{362E3752-E434-4F32-A887-4B9C593EFDF5},4,-76.96023785028983,38.86934787295954
None,,1,2030,2016,ADA_APSPt_5,1471314067000,1719520978000,,{036D45C0-3119-4556-8D1F-83D234512FC6},5,-77.02251827976781,38.97373743810536
None,,1,2030,2016,ADA_APSPt_6,1472231920000,1719520978000,,{0D3503C4-252B-4767-8AB8-78DE0CD2ACFF},6,-77.01230646690018,38.92618348739864
None,,1,2030,2016,ADA_APSPt_7,1471455789000,1719520978000,,{51DC60AD-5EC4-4930-A4DD-59E5DFFA792E},7,-76.99529869005421,38.891966532871685
None,,1,2030,2016,ADA_APSPt_8,1470764649000,1719520978000,,{A5AC378E-ABDA-4C1D-B992-09EAAAF01894},8,-77.0328276706145,38.93143917311862
None,,1,2030,2016,ADA_APSPt_9,1470439139000,1719520978000,,{00ECD7A0-A496-4668-A1A5-D094BEEAB693},9,-76.99309533213017,38.83680151169771
None,,1,2030,2016,ADA_APSPt_10,1470424796000,1719520978000,,{6CF77102-2EAF-486C-9E29-86BCC53C6B52},10,-76.94437878406723,38.90265162353606
None,,1,2030,2016,ADA_APSPt_11,1472856816000,1719520978000,,{D0349E46-C073-4958-A7D3-063E51972EC3},11,-77.03465191046585,38.91712091305505
None,,1,2030,2016,ADA_APSPt_12,1473236064000,1719520978000,,{F3EBAB32-A8BE-4A0A-B482-54AFDD1373FF},12,-77.04177412217722,38.89946970642144
None,,1,2030,2016,ADA_APSPt_13,1472156062000,1719520978000,,{D5703DCF-A745-4632-AFBE-C9D6FF615BCA},13,-76.99169771887897,38.87923210444412
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_14,1487873709000,1719520978000,,{593ADB82-F417-4330-83B0-C8F2E5CE5E66},14,-77.04895652016228,38.90227796517166
None,,1,2030,2016,ADA_APSPt_15,1473457023000,1719520978000,,{D6C9953A-0127-4F8E-901D-5D25F00E9BA6},15,-77.05318854229411,38.90518611751961
None,,1,2030,2016,ADA_APSPt_16,1472584188000,1719520978000,,{6FB5D4BB-434E-4A55-9682-95A7D6C0A252},16,-76.94974699171829,38.861328127671435
None,,1,2030,2016,ADA_APSPt_17,,1719520978000,,{1E44C00A-0D28-4F14-B43C-91519248943A},17,-77.01774281331777,38.88134645411698
None,,1,2030,2016,ADA_APSPt_18,,1719520978000,,{AA6306FE-EFE7-43D1-8D21-B6BE86A2FAEF},18,-77.03470053864582,38.91414886411049
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_19,1471989332000,1719520978000,,{515B502F-D05D-4AC4-A983-9925D4F4E7DE},19,-76.97887592862995,38.88767296576202
None,,1,2030,2016,ADA_APSPt_20,1472226233000,1719520978000,,{0E75AC0B-9BBF-47E8-93A0-377C8C64D2A5},20,-76.97911836248946,38.900966529790594
None,,1,2030,2016,ADA_APSPt_21,1471638985000,1719520978000,,{3127DB33-48FB-46BA-B3DC-8791A26FF0B7},21,-76.9854456568051,38.892105404768365
None,,1,2030,2016,ADA_APSPt_22,1470419862000,1719520978000,,{9DDBE8DA-9288-4D9C-9862-6670DAB16C04},22,-76.93822656190032,38.8896071976269
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_23,1472857320000,1719520978000,,{714977A2-570B-4F9E-8F68-1979012AE679},23,-77.0176728366781,38.883350372645005
None,,1,2030,2016,ADA_APSPt_24,1472707152000,1719520978000,,{17C5516F-6B3A-429B-B5A9-CCCD81F9F335},24,-77.02377350802402,38.88745963277642
None,,1,2030,2016,ADA_APSPt_25,1471405998000,1719520978000,,{E985FA31-8335-4C3B-B4EC-68EB384663B7},25,-77.01203322170456,38.908633965728015
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_26,1473324004000,1719520978000,,{A4A2D20E-3E9A-4A68-855A-E097C3014949},26,-77.03473290405014,38.902717103316945
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_27,1473892133000,1719520978000,,{684E43E5-C461-4043-8747-AD4ED95C6A3E},27,-77.0415838557692,38.902751138593935
None,,1,2030,2016,ADA_APSPt_28,,1719520978000,,{A541CFC3-C540-4576-BC26-0D1C89CA4B92},28,-77.00739125753906,38.87634475932341
None,,1,2030,2016,ADA_APSPt_29,1471378582000,1719520978000,,{F6A76EA4-5DBD-43D3-B227-B05E6DB894EE},29,-76.99838525487344,38.89744384412091
None,,1,2030,2016,ADA_APSPt_30,1468364910000,1719520978000,,{95A700BA-1D90-49DD-B505-2BBBC9CB0910},30,-77.07941396813754,38.94785338124553
None,,1,2030,2016,ADA_APSPt_31,1470781877000,1719520978000,,{41A9A4FD-C00A-4222-9826-BCB4A37B8BC3},31,-77.03222984527272,38.92353983328505
None,,1,2030,2016,ADA_APSPt_32,1471563234000,1719520978000,,{AC73122B-B306-441E-A990-FC4D08FD691F},32,-76.9958006589912,38.92043075035177
None,,1,2030,2016,ADA_APSPt_33,1472680015000,1719520978000,,{8094E0EB-23C7-4BD5-A250-3C28C9026139},33,-77.02002145282509,38.91416686450534
None,,1,2030,2016,ADA_APSPt_34,1470770282000,1719520978000,,{4AA6FE3C-3A85-4AC2-9EB0-27AFB945EA21},34,-76.98862755196615,38.84458268285215
None,,2,2030,2016,ADA_APSPt_35,,1719520978000,,{0E58B0E6-EAFE-4317-A4FF-C005070F850E},35,-77.02266917658123,38.87842411789941
None,,1,2030,2016,ADA_APSPt_36,1472158730000,1719520978000,,{070B7841-6C3E-4042-9E3A-F116EBE91045},36,-77.0002828983758,38.90724526296089
None,,5,2030,2016,ADA_APSPt_37,,1719520978000,,{17E8D019-5C40-4CF6-8C9A-B576AC22D228},37,-77.0297618938316,38.911072234273334
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_38,,1719520978000,,{FF67BF8F-D98B-4D03-90CE-1B814AF203C7},38,-77.0006264178728,38.876334050958945
None,,1,2030,2016,ADA_APSPt_39,1471382397000,1719520978000,,{DD63FA73-4520-4849-8011-2DD7C815A8F0},39,-77.01210697263258,38.90648553555031
None,,1,2030,2016,ADA_APSPt_40,1471558855000,1719520978000,,{4A5309F1-0ADD-4D78-A7B4-652E8C42A217},40,-76.95774414355465,38.930879060443566
Type C: Compliant version with Vibro-tactile and arrow,,5,2030,2016,ADA_APSPt_41,1472767396000,1719520978000,,{28A2DC72-0288-49B5-A742-557E5D5C6749},41,-77.04889093679047,38.90403104403163
None,,1,2030,2016,ADA_APSPt_42,1472585498000,1719520978000,,{2CF86938-A6CA-45F4-8198-A38DFC3AF766},42,-77.03212485265885,38.91564165325598
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_43,1473233297000,1719520978000,,{BE1746C4-B0F2-4E8D-974C-9FC18A52CDCD},43,-77.07268678919235,38.93474550540804
