ROUTEID,INTERSECTIONKEY,INTERSECTIONNAME,ACISA,LPI,NTOR_SIGNAGE,ALL_PED_PHASE,BIKE_PHASE,QUEUE_JUMP,TRANSIT_SIGNAL_PRIORITY,PED_RECALL_MODE,HAWK,APS,MEASURE,STATUS,WARD,LATITUDE,LONGITUDE,SE_ANNO_CAD_DATA,OBJECTID,GLOBALID
,2080109c809d79f04942a239d3bad9cb,19th St & E St NE,3131,Yes,Completed,No,No,No,No,Recall,No,No,,Active,7,38.896134,-76.977255,,45447,{55DC0F5C-7BB9-384D-E063-782F520A01CE}
,a05a096abf78d68d77d83198b0d852f4,14th St & Columbia Rd NW,5055,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,1,38.927533,-77.032517,,45448,{55DC0F5C-7BBA-384D-E063-782F520A01CE}
,fc655082737b0e982901ad9a894b89d2,17th St NE & L St NE,3123,Yes,Completed,No,No,No,No,Recall,No,No,,Active,5,38.903726,-76.979001,,45449,{55DC0F5C-7BBB-384D-E063-782F520A01CE}
,ddf8e633ee3ddc780e5842fd8fc310f0,6th St NW & Pennsylvania Ave NW,2051,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.892772,-77.019912,,45450,{55DC0F5C-7BBC-384D-E063-782F520A01CE}
,d9b71f27589df0046ca6e94c2f90fad9,"15th St, Raoul Wallenberg Pl & Independence Ave SW",1226,Yes,Completed,No,Yes,No,No,Recall,No,Yes,,Active,2,38.8877808,-77.03368987,,45451,{55DC0F5C-7BBD-384D-E063-782F520A01CE}
,3ad5f07b08379d540225d8a74d8af4a4,20th St & C St NE,3475,No,No Signage,No,No,No,No,Actuated,Yes,Yes,,Active,7,38.893317,-76.976226,,45452,{55DC0F5C-7BBE-384D-E063-782F520A01CE}
,84251ac9ca260be8fb0d397e48329749,YUMA STREET NW AND CONNECTICUT AVENUE NW,6085,Yes,No Signage,No,No,No,No,Recall,No,Yes,,Active,3,38.94674365,-77.06500808,,45453,{55DC0F5C-7BBF-384D-E063-782F520A01CE}
,0c6d9a16c951d6c8280f464ab68aab6f,7th St & Alabama Ave SE,4223,Yes,Completed,No,No,No,No,Actuated,No,No,,Active,8,38.84341569,-76.99591563,,50878,{55DC0F5C-7BC0-384D-E063-782F520A01CE}
,d6e4b59104eb48aeae09e87e0e4ea961,10th St & R St NW,2098,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.912611,-77.026004,,50879,{55DC0F5C-7BC1-384D-E063-782F520A01CE}
,e9515b7cba87954bde4ff351a0390261,22nd St & P St NW,1152,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,2,38.909647,-77.048799,,50880,{55DC0F5C-7BC2-384D-E063-782F520A01CE}
,79df1f16a2628e1d3dac7f75ec231169,Pennsylvania Ave & Constitution Ave (East) NW,2201,No,No Signage,No,No,No,No,Recall,No,No,,Active,6,38.891828,-77.016394,,50881,{55DC0F5C-7BC3-384D-E063-782F520A01CE}
,c417810eca3629bc46fe28f50e76a778,"Riggs Rd & Rock Creek Church Rd, Blair Rd NE",5188,Yes,Completed,No,No,No,No,Recall,No,No,,Active,4,38.955184,-77.007307,,50882,{55DC0F5C-7BC4-384D-E063-782F520A01CE}
,a6c3d963987908aab225e8d9a649cb5f,"New York Ave & Mt Olivet Rd, Brentwood Pkwy NE",3246,Yes,No Signage,No,No,No,No,Actuated,No,No,,Active,5,38.9135867,-76.99111653,,50883,{55DC0F5C-7BC5-384D-E063-782F520A01CE}
,745cb24cc61c7794d919ab2a6ded9f8a,16TH STREET NW AND JONQUIL STREET NW,5262,No,Completed,No,No,No,No,Actuated,Yes,Yes,,Active,4,38.98416268,-77.0363418,,50884,{55DC0F5C-7BC6-384D-E063-782F520A01CE}
,093d7769a8befccd641c696d4d1028a4,9th St & L St NW,2075,Yes,No Signage,No,No,No,Yes,Recall,No,No,,Active,2,38.904181,-77.023964,,50885,{55DC0F5C-7BC7-384D-E063-782F520A01CE}
,afff4a2c58b6ae42913dccac87295456,16th St & Independence Ave SE,1393,Yes,No Signage,No,No,No,No,Recall,No,Yes,,Active,7,38.887602,-76.982222,,50886,{55DC0F5C-7BC8-384D-E063-782F520A01CE}
,bf872c31587e9701932e3a10b369c06b,N Capitol St & I St,2218,No,No Signage,No,No,No,No,TOD Recall,No,No,,Active,6,38.901355,-77.009066,,50887,{55DC0F5C-7BC9-384D-E063-782F520A01CE}
,404a97ab9283dad38d1531591fa47ba4,South Dakota Ave & Sargent Rd NE,3212,Yes,No Signage,No,No,No,No,Recall,No,No,,Active,5,38.946771,-76.989042,,50888,{55DC0F5C-7BCA-384D-E063-782F520A01CE}
,8d13c2dd74d58f2943f9cfae293e4378,13th St & Kenyon St NW,5044,Yes,Completed,No,No,No,No,Recall,No,No,,Active,1,38.929663,-77.029703,,50889,{55DC0F5C-7BCB-384D-E063-782F520A01CE}
,adfd06043d1a3108ecc0d14a1e6b1f71,New Hampshire Ave & M St NW,1185,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,2,38.905315,-77.047487,,50890,{55DC0F5C-7BCC-384D-E063-782F520A01CE}
,8aac86e880ac8396a3b61914ac9197fb,18th St NW & Massachusetts Ave NW,1095,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.909034,-77.041688,,50891,{55DC0F5C-7BCD-384D-E063-782F520A01CE}
,cb89ca0dcf6a35f2c86814c6e5b090c3,"South Dakota Ave & Delafield St, Emerson St NE",3206,Yes,No Signage,No,No,No,Yes,Recall,No,No,,Active,5,38.949919,-76.99328,,50892,{55DC0F5C-7BCE-384D-E063-782F520A01CE}
,33b397b437352dd32886bc9ca2ebd161,11th St & R St NW,2114,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.912612,-77.027034,,50893,{55DC0F5C-7BCF-384D-E063-782F520A01CE}
,a09b54513196b69d4500fcf0f10c2e64,PORTER STREET NW AND QUEBEC STREET NW,6245,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,3,38.93680518,-77.05876638,,50894,{55DC0F5C-7BD0-384D-E063-782F520A01CE}
,33643ce618314df828e7e0462f48b031,Eastern Ave & Minnesota Ave NE,4082,Yes,Completed,No,No,No,No,Recall,No,No,,Active,7,38.910134,-76.931428,,50895,{55DC0F5C-7BD1-384D-E063-782F520A01CE}
,07bd60c2e25615a823ba1f9e7b2abe43,Virginia Ave & New Hampshire Ave NW,1187,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.899165,-77.053875,,50896,{55DC0F5C-7BD2-384D-E063-782F520A01CE}
,197da344aa2af25f46ddcbc29c644b26,WISCONSIN AVENUE NW AND VEAZEY STREET NW,6272,No,No Signage,No,No,No,No,Actuated,Yes,Yes,,Active,3,38.94395475,-77.07746644,,50897,{55DC0F5C-7BD3-384D-E063-782F520A01CE}
,ff6834652eac867d2207268d1d07de75,N Capitol St & Randolph Pl,3042,Yes,Completed,No,No,No,No,Recall,No,No,,Active,5,38.91335135,-77.00905096,,50898,{55DC0F5C-7BD4-384D-E063-782F520A01CE}
,7a7963874eafb81d8e0abf66f35116e0,"8th St, West Virginia Ave & K St NE",3084,Yes,Completed,No,No,No,Yes,Recall,No,No,,Active,6,38.902695,-76.994967,,50899,{55DC0F5C-7BD5-384D-E063-782F520A01CE}
,9ffd6c77bfa52280d8e16dd8a43126f4,TILDEN STREET NW AND CONNECTICUT AVENUE NW,6081,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,3,38.94097944,-77.06165618,,50900,{55DC0F5C-7BD6-384D-E063-782F520A01CE}
,99f69d5315aa9ed1da38c5ef46041233,South Dakota Ave & Hamilton St NE,3209,Yes,Completed,No,No,No,No,Actuated,No,Yes,,Active,5,38.953665,-76.998165,,50901,{55DC0F5C-7BD7-384D-E063-782F520A01CE}
,3e7859d1c6020663d850062515f5ad1a,Massachusetts Ave & California St NW,6106,Yes,Completed,No,No,No,Yes,Actuated,No,Yes,,Active,2,38.915507,-77.05525,,50902,{55DC0F5C-7BD8-384D-E063-782F520A01CE}
,5fdd0453492f34455366b0faa16e33cc,"K St, Pennsylvania Ave & Washington Cir NW (West)",1381,No,Completed,No,No,No,No,Recall,No,Yes,,Active,2,38.902715,-77.050977,,50903,{55DC0F5C-7BD9-384D-E063-782F520A01CE}
,58ff21b4943656c5ae4ff6daeb579b48,Alabama Ave & Ainger Pl SE,4093,Yes,No Signage,No,No,No,No,Actuated,No,No,,Active,8,38.855816,-76.969991,,50904,{55DC0F5C-7BDA-384D-E063-782F520A01CE}
,7bfceb319abde7214284d221d03d2d24,CONNECTICUT AVENUE NW AND WOODLEY ROAD NW,6084,Yes,Completed,No,No,No,No,Recall,No,No,,Active,3,38.92554359,-77.05268226,,50905,{55DC0F5C-7BDB-384D-E063-782F520A01CE}
,5b91fc0f95fa1004f0bdd4291b2b3c0c,1st St (East) & Massachusetts Ave NE,2164,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,6,38.8959969,-77.00581988,,50906,{55DC0F5C-7BDC-384D-E063-782F520A01CE}
,25194deb7086f73963bb64fa1fb74ee7,21st St & K St NW,1138,Yes,Completed,No,No,No,Yes,Recall,No,Yes,,Active,2,38.902535,-77.046649,,50907,{55DC0F5C-7BDD-384D-E063-782F520A01CE}
,66e398cc4b40cd851adea3366307a257,12th St & Varnum St NE,3101,Yes,No Signage,No,No,No,No,Recall,No,No,,Active,5,38.942868,-76.990245,,50908,{55DC0F5C-7BDE-384D-E063-782F520A01CE}
,,"M Street and New York Avenue Metro Station Pedestrian Crossing, NE",3225,No,No Signage,No,No,No,No,Actuated,No,Yes,,Active,6,38.90565144,-77.00396611,,50909,{55DC0F5C-7BDF-384D-E063-782F520A01CE}
,2011fec97e515e7bbda63b8c17bd1e9b,NEBRASKA AVENUE NW AND VAN NESS STREET NW,6119,Yes,No Signage,No,No,No,No,Recall,No,No,,Active,3,38.9431674,-77.0814223,,50910,{55DC0F5C-7BE0-384D-E063-782F520A01CE}
,e50871301b50d5b8ace91511120c1dcd,5th St & K St NW,2036,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.902539,-77.018937,,50911,{55DC0F5C-7BE1-384D-E063-782F520A01CE}
,8f2c312cfc11b4343499c5d8a3fc294c,14th St & Marion Barry Ave SE (Good Hope Rd),4115,Yes,Completed,No,No,No,No,Recall,No,No,,Active,8,38.866778,-76.985132,,50912,{55DC0F5C-7BE2-384D-E063-782F520A01CE}
,0866c1c163ecdc48b21b91acb0272212,Florida Ave & P St NE,3244,Yes,No Signage,No,No,No,No,Recall,No,Yes,,Active,5,38.90975038,-77.00659689,,50913,{55DC0F5C-7BE3-384D-E063-782F520A01CE}
,782c60fb046c13f94a26166d99e2efe5,1st St & M St NW,3001,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.905658,-77.012168,,50914,{55DC0F5C-7BE4-384D-E063-782F520A01CE}
,ccdbfccb5bdfc7deeff1d87d59e7828d,14th St & Harvard St NW,5062,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,1,38.926572,-77.032418,,50915,{55DC0F5C-7BE5-384D-E063-782F520A01CE}
,63671a44b3709b6662d2bd22e9ae9ef0,I St & Delaware Ave SW,2206,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.879299,-77.012953,,50916,{55DC0F5C-7BE6-384D-E063-782F520A01CE}
